QKEY,weight,uses_facebook,uses_x,uses_instagram,uses_tiktok,news_facebook,news_x,news_instagram,news_tiktok,fb_why_news,fb_why_entertain,fb_why_social,fb_why_opinion,fb_why_products,fb_why_interests,fb_why_family,tt_why_news,tt_why_entertain,tt_why_social,tt_why_opinion,tt_why_products,tt_why_interests,tt_why_family,fb_pol_content,tt_pol_content,fb_pol_lean,tt_pol_lean,age_group,gender,education,race_ethnicity,party,ideology,income
103538,0.4294743152222483,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
103677,0.3624989563759958,Yes,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,Yes,NA,NA,NA,A little,Some,Mostly liberal,Doesn't lean either way,50-64,Male,High school graduate,White non-Hispanic,Republican,Very conservative,9
103956,0.4615961775790501,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,2
104210,1.1868737997793626,Yes,No,Yes,No,No,NA,No,NA,NA,NA,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,30-49,Female,Some college,White non-Hispanic,Democrat,Very liberal,2
104368,0.6899202077662243,Yes,NA,NA,NA,No,NA,NA,NA,NA,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly conservative,NA,65+,Male,Some college,White non-Hispanic,Independent,Moderate,2
104491,0.6090255669766664,Yes,No,No,No,No,NA,NA,NA,NA,No,NA,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Female,High school graduate,White non-Hispanic,Democrat,Very liberal,3
104689,0.687610066411035,Yes,No,No,No,Yes,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,65+,Female,Some college,White non-Hispanic,Democrat,Moderate,1
104727,1.9498749986568755,Yes,No,No,No,No,NA,NA,NA,NA,No,NA,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Male,Some college,White non-Hispanic,Republican,Conservative,NA
105124,0.3728276628480325,Yes,Yes,No,No,No,No,NA,NA,NA,NA,No,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Male,Less than high school,White non-Hispanic,Republican,Conservative,9
105205,0.38789877091492864,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Female,High school graduate,White non-Hispanic,Republican,Very conservative,9
105269,0.45599269464314823,Yes,Yes,Yes,No,No,No,No,NA,NA,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Moderate,4
106180,0.4601401687921045,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,50-64,Male,High school graduate,White non-Hispanic,Republican,Very conservative,9
106444,0.3461317384732435,Yes,No,Yes,No,No,NA,No,NA,NA,NA,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,9
106590,0.6611954805382239,Yes,NA,Yes,NA,No,NA,No,NA,NA,NA,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,50-64,Female,Less than high school,White non-Hispanic,Independent,Moderate,9
106885,0.4174202939755799,Yes,No,NA,Yes,No,NA,NA,No,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,NA,Most,Some,Mostly liberal,Mostly liberal,65+,Female,Less than high school,Hispanic,Republican,Conservative,9
107023,0.4713325483706822,Yes,No,No,Yes,No,NA,NA,No,NA,NA,NA,No,No,No,NA,NA,NA,NA,Yes,NA,NA,NA,A little,A little,Not sure,Not sure,50-64,Female,High school graduate,Black non-Hispanic,Democrat,Moderate,4
107612,0.7270286622158781,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,High school graduate,Black non-Hispanic,NA,Moderate,1
107668,0.3427729228311539,Yes,No,Yes,Yes,No,NA,No,No,NA,NA,No,Yes,Yes,Yes,NA,NA,NA,No,Yes,NA,Yes,No,A little,A little,Mostly conservative,Not sure,50-64,Female,Less than high school,White non-Hispanic,Republican,Moderate,9
108035,1.20330678002138,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,Some college,Black non-Hispanic,Republican,Very conservative,6
108435,0.7389109480656635,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,9
108592,0.4867878693769371,Yes,No,No,No,No,NA,NA,NA,No,No,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,High school graduate,Black non-Hispanic,Democrat,Moderate,5
109143,0.41345929932333125,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Female,Some college,White non-Hispanic,Republican,Moderate,4
109188,0.32445729781158217,Yes,No,Yes,No,No,NA,No,NA,NA,NA,NA,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Independent,NA,3
109299,0.39401341750217395,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,High school graduate,Hispanic,Something else,Moderate,7
110129,0.4318611982882973,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,4
110353,0.5804673680597237,Yes,Yes,Yes,NA,Yes,Yes,No,NA,Yes,No,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Female,High school graduate,White non-Hispanic,Republican,Conservative,4
110550,0.3510169427422243,Yes,No,Yes,No,No,NA,No,NA,NA,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,NA,NA,50-64,Male,Less than high school,White non-Hispanic,Something else,Moderate,9
111927,1.3799565730434402,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Female,Some college,White non-Hispanic,Something else,Conservative,1
112238,0.8850836497908352,Yes,No,No,Yes,No,NA,NA,No,No,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,Yes,No,No,NA,Some,None at all,Doesn't lean either way,NA,65+,Female,Some college,White non-Hispanic,Republican,Moderate,3
112371,0.7998784234066981,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Female,High school graduate,Hispanic,Independent,Conservative,NA
112517,0.5128579902299657,Yes,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,50-64,Female,Less than high school,White non-Hispanic,Independent,Conservative,9
112613,0.3727636674635087,Yes,No,No,No,No,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Moderate,8
112984,0.3650250510520286,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,NA
113274,0.384331264969563,Yes,No,Yes,No,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,50-64,Male,Less than high school,White non-Hispanic,Democrat,Conservative,2
113412,0.3997467944106781,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,NA,No,Yes,Yes,NA,NA,NA,NA,No,Yes,NA,NA,Some,Some,Mostly conservative,Doesn't lean either way,65+,Female,High school graduate,White non-Hispanic,Republican,Very conservative,3
113565,0.4838422332201751,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,65+,Male,High school graduate,White non-Hispanic,Democrat,Conservative,5
114197,0.7567756006347663,Yes,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Female,Less than high school,White non-Hispanic,Republican,Moderate,3
114473,0.4975400049413584,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,Less than high school,Other,Republican,Conservative,1
114671,1.0620278809449168,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Conservative,9
114898,0.5786862122192176,Yes,No,No,No,No,NA,NA,NA,NA,No,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,9
115295,0.3888714963965004,No,Yes,Yes,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,High school graduate,Other,Independent,Conservative,5
115546,0.4226457835526468,Yes,Yes,Yes,Yes,No,No,No,No,NA,No,No,No,NA,NA,No,NA,NA,No,Yes,NA,NA,NA,A little,A little,Mostly conservative,Doesn't lean either way,50-64,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
116151,0.35288342746446516,Yes,No,Yes,No,No,NA,No,NA,NA,No,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,NA,White non-Hispanic,Republican,Very conservative,1
116182,0.5236448681889695,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Male,High school graduate,White non-Hispanic,Republican,Conservative,9
116264,0.4085830192220303,Yes,No,No,Yes,Yes,NA,NA,No,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,A little,A little,Mostly liberal,Doesn't lean either way,65+,Female,Less than high school,White non-Hispanic,Republican,Moderate,5
116422,1.3799565730434402,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,Some college,White non-Hispanic,Independent,Moderate,7
116439,0.35826461250838354,Yes,No,No,No,Yes,NA,NA,NA,No,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Independent,Moderate,5
116591,0.7038914782109691,Yes,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Moderate,2
116617,0.32883388410131037,Yes,Yes,No,Yes,Yes,No,NA,No,No,No,NA,NA,Yes,No,NA,NA,NA,NA,Yes,NA,NA,NA,Some,A little,Not sure,Doesn't lean either way,50-64,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
116998,0.4731166063176394,No,No,Yes,Yes,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,A little,NA,Mostly liberal,50-64,Female,Less than high school,Black non-Hispanic,Democrat,Liberal,NA
117214,0.4131924530750946,No,Yes,Yes,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,White non-Hispanic,Something else,Very liberal,3
117395,0.20656323586384256,Yes,No,No,No,Yes,NA,NA,NA,No,NA,NA,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,9
118060,0.6411063992469153,Yes,No,Yes,Yes,No,NA,No,No,NA,NA,NA,NA,Yes,No,No,NA,NA,No,Yes,No,Yes,No,A little,None at all,Mostly conservative,NA,50-64,Female,Less than high school,White non-Hispanic,Republican,Conservative,3
118110,1.264928861605474,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Female,Some college,White non-Hispanic,Something else,Moderate,6
118218,0.44918169194402974,Yes,No,No,No,No,NA,NA,NA,No,No,NA,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Very conservative,4
118242,0.3779971933416293,Yes,No,No,Yes,No,NA,NA,No,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,No,NA,No,NA,Some,A little,Mostly liberal,Not sure,50-64,Female,High school graduate,Hispanic,Independent,Conservative,1
118414,0.6856034023315709,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,Some college,White non-Hispanic,Republican,Very conservative,8
118888,0.29756204628892724,Yes,Yes,No,No,No,No,NA,NA,Yes,Yes,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,2
119121,0.6451689430771834,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly conservative,NA,65+,Female,High school graduate,White non-Hispanic,Democrat,Liberal,8
119392,0.8335296048819218,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,50-64,Male,Some college,White non-Hispanic,Republican,Moderate,1
119548,0.4126550954805383,Yes,No,No,No,No,NA,NA,NA,No,NA,No,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,Some college,White non-Hispanic,Independent,Conservative,1
119714,0.4634851167234168,Yes,No,Yes,No,No,NA,No,NA,NA,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly conservative,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Moderate,7
119910,0.4530061190608919,Yes,Yes,Yes,No,Yes,No,No,NA,No,No,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,50-64,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
120118,0.3909130664086486,Yes,No,No,No,Yes,NA,NA,NA,No,NA,NA,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly conservative,NA,50-64,Female,High school graduate,White non-Hispanic,Republican,Conservative,6
120343,0.3436276311713694,No,Yes,Yes,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,High school graduate,White non-Hispanic,Republican,Conservative,9
121158,0.308597859795829,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Moderate,2
121582,0.6916657334299063,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Less than high school,Other,Republican,Very conservative,9
122466,0.20656323586384256,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Republican,Moderate,9
124997,0.6342228553872697,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Moderate,NA
125421,0.5992355336107102,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Liberal,9
126190,0.20656323586384256,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Liberal,6
126211,1.4421374368695388,Yes,No,No,No,No,NA,NA,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Male,Some college,White non-Hispanic,Something else,Very conservative,2
126570,1.6341068062274955,Yes,No,No,Yes,No,NA,NA,No,NA,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,No,NA,NA,Most,A little,Doesn't lean either way,Not sure,65+,Female,Some college,White non-Hispanic,Republican,Conservative,2
127250,0.5214273874306434,Yes,No,No,No,No,NA,NA,NA,No,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,65+,Female,Some college,White non-Hispanic,Democrat,Conservative,1
127284,1.032035446988428,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,50-64,Female,High school graduate,White non-Hispanic,Independent,Conservative,2
127498,0.4188886671476918,No,No,Yes,Yes,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Yes,No,No,NA,NA,Some,NA,Mostly conservative,30-49,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
127800,0.6571907419335534,Yes,Yes,Yes,Yes,Yes,No,No,No,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,A little,None at all,Not sure,NA,30-49,Female,High school graduate,White non-Hispanic,Republican,Conservative,5
128214,0.43049410925696785,Yes,No,No,No,No,NA,NA,NA,No,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,30-49,Female,High school graduate,White non-Hispanic,Independent,Moderate,1
128285,0.413232181709318,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Male,Less than high school,Other,Democrat,Liberal,8
128558,0.9652815895059602,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Some college,White non-Hispanic,Republican,Conservative,6
129046,0.40634606379740457,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Republican,Conservative,6
129189,0.42405601723790326,No,No,Yes,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,9
130571,0.3815038804783962,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,High school graduate,Hispanic,Independent,Very conservative,8
132240,0.45741961108312834,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,50-64,Female,Less than high school,White non-Hispanic,Republican,Conservative,NA
132246,0.4489621043159008,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,High school graduate,NA,Something else,Conservative,9
132264,0.30349801236712126,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly conservative,NA,65+,Female,Less than high school,White non-Hispanic,Independent,Moderate,3
132973,0.774389388350317,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NA,No,No,NA,No,NA,NA,NA,No,NA,NA,NA,Some,A little,Mostly conservative,Mostly conservative,65+,Female,Some college,White non-Hispanic,Democrat,Moderate,5
133114,0.20656323586384256,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Liberal,9
133700,1.222120413601876,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Some college,White non-Hispanic,Democrat,Moderate,2
134129,0.40838589902218175,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,50-64,Female,High school graduate,White non-Hispanic,Something else,NA,4
135146,0.20656323586384256,Yes,Yes,Yes,No,No,Yes,No,NA,NA,NA,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,65+,Male,Less than high school,White non-Hispanic,Republican,Conservative,9
135184,0.3352518235897435,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,Less than high school,White non-Hispanic,Republican,Very conservative,9
135751,0.3767902937515395,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Democrat,Liberal,9
136015,0.41970527820536696,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,9
136411,1.3161397293432944,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Some,NA,Doesn't lean either way,50-64,Male,Less than high school,NA,Independent,Moderate,1
136999,0.3529533860098165,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,Yes,Yes,Yes,No,NA,NA,NA,Yes,Yes,Yes,NA,A little,Some,Doesn't lean either way,Mostly liberal,65+,Female,High school graduate,White non-Hispanic,Republican,Conservative,9
137886,0.38309790473478506,Yes,Yes,Yes,No,Yes,No,No,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Female,Less than high school,White non-Hispanic,Independent,Moderate,NA
139467,0.41862656538357407,Yes,No,No,No,No,NA,NA,NA,No,NA,No,NA,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Conservative,2
141442,0.350846875586558,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Republican,Conservative,9
141471,0.8774993747625542,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,50-64,Female,High school graduate,White non-Hispanic,Republican,Conservative,9
